network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,Infected_Ever,Number_Days_with_RFID_Data,Average_Adjusted_Group_Size,Eigenvector_Centrality,Feeders_Visited_per_Day,Feeding_Bouts_per_Day,Instances_of_Aggression_per_Day,Number_of_Captures,Num_Unique_Indivs_w_which_Interacted_Aggressively,Relative_Dominance,Sex,Time_on_Feeders_per_Day_in_Minutes,Weighted_Degree
Network_438,2581-25009,7,0.03476037484226761,9.108213607937428e-05,7,117,1027,0.15134099616858238,0.5891424805616717,N,3,0.08942307699999999,0.00332061,0.666666667,6.333333333,2.0,1,1.6666666669999999,-0.142942058,F,1.094444445,0.029927144
Network_438,2581-25004,17,0.07353831152218278,0.0022361836777366377,12,117,1027,0.15134099616858238,0.5891424805616717,Y,10,0.072329343,0.0058438809999999996,0.2,50.5,5.2,3,1.1,0.453543465,M,62.5475,0.18748567300000002
Network_438,2581-25003,39,0.18338503867462902,0.014913054376960989,17,117,1027,0.15134099616858238,0.5891424805616717,N,123,0.08662940699999999,0.24657602399999998,0.016260163,19.8699187,2.87804878,2,0.203252033,-0.089036059,M,4.062669377,0.881484743
Network_438,2551-79126,13,0.015492193598021318,0.0025915822775635514,12,117,1027,0.15134099616858238,0.5891424805616717,N,9,0.062444169,0.0005534380000000001,0.222222222,10.88888889,1.111111111,2,1.0,-0.31487441899999996,F,3.855555555,0.187697075
Network_438,2551-79125,19,0.03017385734755807,0.009099538882986665,15,117,1027,0.15134099616858238,0.5891424805616717,N,32,0.068639568,0.00236288,0.0625,19.53125,2.28125,2,0.46875,0.118672548,F,4.526822917,0.588546853
Network_438,2551-79124,25,0.02557299297145962,0.007998300575576099,15,117,1027,0.15134099616858238,0.5891424805616717,N,49,0.066296721,0.00214461,0.020408163,18.55102041,2.4285714290000002,2,0.367346939,-0.095975163,M,3.551360545,0.757006097
Network_438,2281-94489,4,0.005665656563646014,0.015892053973013492,3,117,1027,0.15134099616858238,0.5891424805616717,Y,31,0.040262072999999995,0.000100007,0.064516129,9.935483871,0.0,1,0.0,-0.083304345,F,5.731182795,0.09238466599999999
Network_438,2551-79122,10,0.048189780946375764,2.0265556444835223e-05,10,117,1027,0.15134099616858238,0.5891424805616717,N,6,0.09153576,0.00176454,0.333333333,3.5,0.5,1,0.5,0.416695655,F,0.623611111,0.084220852
Network_438,2551-79121,22,0.024734491478554676,0.003662058964028534,15,117,1027,0.15134099616858238,0.5891424805616717,N,39,0.066621605,0.002204834,0.025641026,15.82051282,2.076923077,1,0.435897436,0.10806131,F,3.9525641030000003,0.714752855
Network_438,2551-79120,22,0.022425782051520512,0.005883679435419467,15,117,1027,0.15134099616858238,0.5891424805616717,N,57,0.065553754,0.00187045,0.01754386,11.52631579,1.456140351,1,0.245614035,-0.156431737,F,4.685526315,0.659314815
Network_438,2281-94484,12,0.06837400484863247,7.162437549721064e-05,11,117,1027,0.15134099616858238,0.5891424805616717,N,7,0.093725553,0.012146951000000001,0.14285714300000002,12.71428571,3.0,1,1.0,0.709180117,F,6.389285715,0.098785786
Network_438,2281-94487,24,0.03531544263947109,0.02252567658186389,15,117,1027,0.15134099616858238,0.5891424805616717,N,71,0.05708604900000001,0.001492085,0.014084507,10.81690141,0.915492958,3,0.253521127,0.066585426,F,4.4983568080000005,0.41590061700000003
Network_438,2281-94486,44,0.19260026011693163,0.030132536180227522,17,117,1027,0.15134099616858238,0.5891424805616717,N,137,0.084162906,0.268141275,0.01459854,32.10218978,4.364963503999999,1,0.21167883199999998,-0.010156144,M,6.9831508520000005,0.921159597
Network_438,2551-79150,26,0.13391089383407545,0.003121186524043601,16,117,1027,0.15134099616858238,0.5891424805616717,N,43,0.076084263,0.026689796000000002,0.093023256,11.60465116,0.697674419,1,0.37209302299999997,-0.106312442,M,2.609496123,0.228903902
