network,node,degree,eigenvector,betweenness,kshell,node_count,edge_count,density,modularity,colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
Network_98,Ant62,105,0.09180380127857382,0.0023291823029101626,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,62.0,185.19400000000002,57.0,0.0,N,N,N,N,87.0,0.0,0.363636,260.81818,135.81818,72.0,2.727
Network_98,Ant65,62,0.0499973054312767,0.0007064155654099063,58,141,6731,0.6819655521783181,0.27677337351008513,21.0,65.0,139.442,50.0,43.0,F,F,F, ,2.36364,100.545,0.0909091,33.181818,116.81818,716.90909,0.0
Network_98,Ant604,74,0.06350552800080579,0.000856187837175547,65,141,6731,0.6819655521783181,0.27677337351008513,21.0,604.0,301.204,1453.0,0.0,Q,Q,Q,Q,13.3636,0.0,1.81818,754.36364,122.90908999999999,32.272727,0.0
Network_98,Ant607,64,0.05500298415129956,0.00026442363844799484,63,141,6731,0.6819655521783181,0.27677337351008513,21.0,607.0,178.34,71.0,0.0,N,N,N,N,293.091,0.0,0.0909091,442.81818,98.636364,33.090909,17.0
Network_98,Ant178,106,0.09171138095373396,0.002742603269444968,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,178.0,190.31799999999998,57.0,0.0,N,N,N,N,73.0,0.727273,1.18182,487.54545,152.27273,49.636364,29.73
Network_98,Ant289,62,0.053584172742031644,0.0002385284798033059,62,141,6731,0.6819655521783181,0.27677337351008513,21.0,289.0,158.446,40.0,0.0,N,N,N,N,81.8182,3.0,2.18182,408.27272999999997,95.090909,30.727272999999997,22.45
Network_98,Ant81,100,0.08530702725256004,0.0028072085738359157,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,81.0,131.244,40.0,0.0,F,F,F,F,57.2727,2.18182,6.54545,79.818182,182.09091,261.81818,0.2727
Network_98,Ant172,114,0.09919432769389458,0.002859785319999672,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,172.0,196.084,197.0,0.0,N,N,N,C,202.81799999999998,0.909091,0.0909091,409.90909,279.45455,156.18182,6.364
Network_98,Ant176,77,0.06425900369769898,0.0016919671318043796,65,141,6731,0.6819655521783181,0.27677337351008513,21.0,176.0,140.602,57.0,3.0,F,F, , ,75.5455,2.81818,0.0,41.363636,108.63636000000001,387.09091,0.0
Network_98,Ant175,103,0.0905099487127753,0.0018890394948605385,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,175.0,151.39700000000002,40.0,0.0,N,N,N,F,497.0,0.818182,0.272727,421.63635999999997,165.72727,74.090909,1.636
Network_98,Ant207,95,0.08032003107304143,0.0025663981284513556,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,207.0,131.37,5.0,36.0,F,F, , ,5.72727,32.0,0.0,25.909091,94.636364,548.36364,0.0
Network_98,Ant206,111,0.09510514193674452,0.0037603012052379553,70,141,6731,0.6819655521783181,0.27677337351008513,21.0,206.0,152.086,40.0,0.0,N,N,N,N,32.0,0.0909091,2.81818,635.0,164.36364,53.636364,21.09
